,Tiers_Key,ancienne_classe_risque,date_entree_risque,classe_risque_actuelle,date_entree_classe_risque_actuelle,code_agence,code_dr,age_tiers,anciennete,sexe_rec,segment,etat_civil,situation_contractuelle,convention,employeur_client,revenu_mensuel,rupture_revenu,mvt_debit_moyen,duree_sommeil,max_credit,min_debit,nbr_mvt_credit,nbr_mvt_debit,nbr_open_comptes,nbr_closed_comptes,nbr_abonnements,nbr_desabonnements,total_placement,nbr_placements_actifs,nbr_placements_echus,nbr_open_engagements,nbr_closed_engagements,encours_Fin_periode,impaye_Fin_periode,nbr_impayes_periode,solde_moyen_mensuel,eng_cct,eng_cmt,eng_clt,Engagement_STB,Engagement_Secteur,anciennete_dern_eng_anticip,sortie_risque
2040,2599255,2,2019-12-31,1,2020-03-31,101,Z 610     ,27,0,Female,Particulier,3,4.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2041,2599401,2,2019-12-31,3,2020-06-30,66,Z 510     ,22,0,Male,Particulier,0,6.0,-1,-1,138.25,0,-179.076,85,762.9,-800.0,3,17,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,-290.455,0.0,0.0,0.0,0.0,0.0,0.0,-1
2042,2599970,2,2019-12-31,0,2020-09-30,56,Z 510     ,24,0,Male,Particulier,0,2.0,-1,-1,109.232083,0,-50.143,85,693.306,-300.0,4,31,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,188.931,0.0,0.0,0.0,0.0,0.0,0.0,1
2043,2599985,2,2019-12-31,1,2020-06-30,9,Z 580     ,31,0,Male,Professional,0,7.0,-1,-1,2879.166666,0,-1279.964,85,4900.0,-4500.0,26,30,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,378.011,0.0,0.0,0.0,0.0,0.0,0.0,1
2044,2600100,2,2019-12-31,1,2020-03-31,121,Z 510     ,24,0,Male,Particulier,0,2.0,-1,-1,72.666666,0,-141.843,85,416.0,-434.0,4,14,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,-6.109,0.0,0.0,0.0,0.0,0.0,0.0,1
2045,2600830,2,2019-12-31,1,2020-03-31,101,Z 610     ,32,0,Male,Particulier,0,5.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2046,2601701,2,2019-12-31,0,2020-09-30,73,Z 610     ,28,0,Male,Particulier,0,5.0,-1,-1,64.0,0,-110.742,85,699.0,-690.0,3,8,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,196.088,0.0,0.0,0.0,0.0,0.0,0.0,1
2047,2601797,2,2019-12-31,1,2020-03-31,152,Z 580     ,26,0,Male,Professional,0,7.0,-1,-1,890.0,0,-190.272,85,1000.0,-1500.0,22,62,1,0,3,0,0.0,0,0,0,0,0.0,0.0,0.0,328.835,0.0,0.0,0.0,0.0,0.0,0.0,1
2048,2602109,2,2020-06-30,0,2020-09-30,110,Z 510     ,31,0,Male,Particulier,0,2.0,-1,-1,200.833333,0,-349.201,83,890.0,-1000.0,5,14,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-434.34,0.0,0.0,0.0,0.0,0.0,0.0,1
2049,2602129,2,2019-12-31,1,2020-06-30,51,Z 580     ,37,0,Male,Particulier,0,5.0,-1,-1,335.0,0,-667.391,55,4000.0,-2500.0,2,10,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,501.597,0.0,0.0,0.0,0.0,0.0,0.0,1
2050,2602343,2,2019-12-31,0,2020-06-30,131,Z 510     ,28,0,Male,Professional,0,7.0,-1,-1,2.592333,0,-25.585,85,21.108,-1017.45,2,5,1,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-223.647,0.0,5985000.0,0.0,0.0,0.0,0.0,1
2051,2602406,2,2019-12-31,1,2020-03-31,77,Z 510     ,39,0,Male,Particulier,0,1.0,-1,-1,16.666666,0,-61.15,85,200.0,-150.0,1,5,2,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,1
2052,2602500,2,2019-12-31,1,2020-03-31,101,Z 610     ,77,0,Female,Particulier,3,5.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2053,2602751,2,2019-12-31,0,2020-09-30,46,Z 610     ,27,0,Male,Particulier,0,1.0,-1,-1,1.666666,0,-16.663,85,20.0,-17.855,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,1
2054,2602852,2,2019-12-31,1,2020-03-31,66,Z 510     ,23,0,Male,Particulier,0,5.0,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2055,2602934,2,2019-12-31,1,2020-03-31,23,Z 610     ,33,0,Female,Particulier,0,5.0,-1,-1,17.5,0,-112.925,85,200.0,-208.0,2,3,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,66.86,0.0,0.0,0.0,0.0,0.0,0.0,1
